range,1-89
bit,40
1,北海道の河川
2,青森県の河川
3,岩手県の河川
4,宮城県の河川
5,秋田県の河川
6,山形県の河川
7,福島県の河川
8,茨城県の河川
9,栃木県の河川
10,群馬県の河川
11,埼玉県の河川
12,千葉県の河川
13,東京都の河川
14,神奈川県の河川
15,新潟県の河川
16,富山県の河川
17,石川県の河川
18,福井県の河川
19,山梨県の河川
20,長野県の河川
21,岐阜県の河川
22,静岡県の河川
23,愛知県の河川
24,三重県の河川
25,滋賀県の河川
26,京都府の河川
27,大阪府の河川
28,兵庫県の河川
29,奈良県の河川
30,和歌山県の河川
31,鳥取県の河川
32,島根県の河川
33,岡山県の河川
34,広島県の河川
35,山口県の河川
36,徳島県の河川
37,香川県の河川
38,愛媛県の河川
39,高知県の河川
40,福岡県の河川
41,佐賀県の河川
42,長崎県の河川
43,熊本県の河川
44,大分県の河川
45,宮崎県の河川
46,鹿児島県の河川
47,沖縄県の河川
80,沖縄県の河川
81,北海道の河川
82,東北地方の河川
83,関東地方の河川
84,北陸地方の河川
85,中部地方の河川
86,近畿地方の河川
87,中国地方の河川
88,四国地方の河川
89,九州地方の河川
